 2026-01-08	12:20:02	XA01089004K	R-713	+1.5483 mWC 
 2026-04-20	14:48:59	XA00798647S	R-779	+1.5431 mWC 
 2026-06-02	13:45:36	XA00117199G	R-856	+1.5450 mWC 
