 2024-11-07	15:18:14	XNoDosimeter	RNoRod	-2.694	-184.602	126.901	25.579
 2025-03-12	10:33:01	XA005786444	R-10	1337	1337	1337	1337
 2025-03-25	10:06:43	XA00595577W	R-99	1337	1337	1337	1337
 2025-04-08	09:55:32	XA01431915D	R-200	1337	1337	1337	1337
 2025-04-23	11:36:39	XA00789617W	R-231	1337	1337	1337	1337
 2025-05-21	13:13:01	XA00121087R	R-368	1337	1337	1337	1337
 2025-06-17	12:08:35	XA00832252Q	R-408	1337	1337	1337	1337
 2025-07-02	10:48:04	XA00311915K	R-474	1337	1337	1337	1337
 2025-07-30	10:14:09	XA00926810J	R-558	3.081	-233.102	180.240	31.465
 2025-08-27	09:38:23	XA00748195B	R-600	3.826	-231.855	176.565	31.645
 2025-09-10	11:13:20	XA01250925B	R-655	1337	1337	1337	1337
 2025-10-29	11:26:56	XnoDosimeter	Rnorod	2.924	-233.059	178.463	27.542
